id;start_date;end_date;language
1;2020-05-15T05:45:00;2020-05-15T03:35:15;SPANISH
2;2020-05-14T10:35:11;2020-05-15T05:39:36;SPANISH
3;2020-05-15T01:30:30;2020-05-14T12:04:39;FRENCH
4;2020-05-14T16:48:01;2020-05-15T04:19:27;FRENCH
5;2020-05-15T02:18:19;2020-05-15T07:05:18;FRENCH
6;2020-05-14T20:10:40;2020-05-15T08:18:54;FRENCH
7;2020-05-14T21:56:00;2020-05-14T15:46:51;FRENCH
8;2020-05-14T20:52:13;2020-05-15T07:08:21;SPANISH
9;2020-05-14T19:33:22;2020-05-14T16:14:45;SPANISH
10;2020-05-15T03:45:26;2020-05-14T14:19:56;SPANISH
